user_id,dt
10000000007,2018-06-19
10000000011,2018-06-05
10000000011,2018-06-27
10000000016,2018-06-05
10000000027,2018-06-19
10000000028,2018-06-20
10000000039,2018-05-21
10000000058,2018-07-03
10000000061,2018-05-18
10000000064,2018-06-28
10000000069,2018-06-20
10000000076,2018-05-21
10000000077,2018-06-04
10000000078,2018-07-05
10000000082,2018-07-06
10000000085,2018-06-08
10000000088,2018-06-19
10000000091,2018-06-06
10000000095,2018-07-03
10000000097,2018-06-05
10000000108,2018-05-18
10000000109,2018-06-05
10000000109,2018-07-04
10000000111,2018-05-22
10000000119,2018-06-18
10000000128,2018-06-20
10000000133,2018-06-06
10000000134,2018-05-17
10000000137,2018-06-28
10000000157,2018-06-06
10000000162,2018-06-08
10000000164,2018-06-05
10000000181,2018-06-19
10000000189,2018-07-05
10000000197,2018-06-06
10000000199,2018-06-05
10000000206,2018-05-21
10000000208,2018-05-22
10000000213,2018-05-18
10000000213,2018-06-07
10000000222,2018-06-27
10000000227,2018-05-18
10000000231,2018-06-04
10000000232,2018-05-21
10000000264,2018-05-21
10000000266,2018-05-21
10000000274,2018-06-22
10000000287,2018-05-21
10000000287,2018-06-04
10000000307,2018-06-18
10000000325,2018-07-03
10000000326,2018-06-08
10000000326,2018-06-19
10000000334,2018-06-04
10000000337,2018-07-04
10000000340,2018-06-04
10000000342,2018-05-21
10000000349,2018-07-04
10000000350,2018-06-08
10000000350,2018-07-05
10000000360,2018-06-06
10000000360,2018-06-20
10000000380,2018-07-04
10000000390,2018-06-18
10000000393,2018-06-19
10000000397,2018-06-04
10000000403,2018-06-20
10000000404,2018-05-17
10000000411,2018-06-21
10000000416,2018-07-06
10000000442,2018-06-08
10000000447,2018-06-21
10000000453,2018-05-18
10000000463,2018-07-03
10000000468,2018-06-20
10000000471,2018-06-22
10000000472,2018-06-04
10000000480,2018-06-19
10000000500,2018-05-18
10000000525,2018-05-17
10000000529,2018-05-17
10000000537,2018-06-19
10000000542,2018-06-06
10000000547,2018-06-07
10000000564,2018-06-21
10000000580,2018-06-22
10000000586,2018-06-21
10000000587,2018-06-19
10000000592,2018-06-27
10000000593,2018-07-04
10000000596,2018-06-18
10000000610,2018-06-06
10000000632,2018-06-22
10000000636,2018-07-05
10000000643,2018-06-05
10000000645,2018-06-28
10000000655,2018-06-08
10000000659,2018-06-05
10000000660,2018-05-18
10000000676,2018-05-18
10000000677,2018-06-20
10000000678,2018-06-21
10000000679,2018-05-17
10000000698,2018-06-20
10000000717,2018-06-22
10000000718,2018-06-21
10000000726,2018-06-04
10000000733,2018-06-28
10000000736,2018-06-07
10000000751,2018-06-06
10000000779,2018-05-18
10000000817,2018-06-27
10000000820,2018-07-04
10000000826,2018-06-07
10000000843,2018-06-06
10000000847,2018-06-08
10000000851,2018-07-04
10000000855,2018-06-22
10000000859,2018-06-04
10000000868,2018-06-05
10000000872,2018-06-05
10000000879,2018-06-04
10000000882,2018-07-03
10000000888,2018-07-03
10000000889,2018-07-04
10000000912,2018-05-23
10000000930,2018-06-21
10000000934,2018-05-21
10000000934,2018-06-18
10000000942,2018-06-04
10000000942,2018-06-07
10000000945,2018-06-07
10000000946,2018-06-06
10000000948,2018-06-06
10000000950,2018-05-18
10000000963,2018-06-20
10000000973,2018-06-18
10000000974,2018-05-22
10000001001,2018-05-18
10000001001,2018-06-19
10000001005,2018-05-17
10000001009,2018-06-22
10000001009,2018-07-03
10000001012,2018-06-22
10000001038,2018-07-04
10000001046,2018-06-18
10000001049,2018-06-18
10000001064,2018-06-06
10000001064,2018-07-06
10000001065,2018-06-18
